bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,0,0,0,,310,15133,cpc,ajyi1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/cpc"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/1308"", ""label"": ""Ash\u00e9ninka""}, {""url"": ""https://en.wikipedia.org/wiki/Axininca_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ajyi1238"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q3327405"", ""label"": null}], ""meds"": [[""300486"", ""long_grammar"", 1982, 311, ""David L. Payne and Judith K. Payne and Jorge Sanchez Santos 1982""], [""133312"", ""grammar"", 1981, 294, ""David L. Payne 1981""], [""19816"", ""grammar"", 1978, 293, ""David L. Payne 1978""], [""94138"", ""wordlist_or_less"", 1975, 5, ""Martha A. Jakway 1975""], [""119553"", ""wordlist_or_less"", 1973, 3, ""Heitzman, Allene 1973""], [""572160"", ""wordlist_or_less"", 1948, 538, ""Steward, J. H., and A. Metraux. 1948""], [""575550"", ""wordlist_or_less"", 1924, 24, ""Nordenskiold, E. 1924""]]}",-9.82364,language,-74.61947,South America,,Ajyíninka Apurucayali,'Ajyíninka Apurucayali [ajyi1238][cpc]-l-':1,17694
False,Spoken L1 Language,2,0,0,,400,7479,ake,akaw1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/ake"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/668"", ""label"": ""Kapong""}, {""url"": ""https://phoible.org/languages/akaw1239"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_akw"", ""label"": ""Akawaio""}, {""url"": ""https://www.wikidata.org/entity/Q28059"", ""label"": null}], ""meds"": [[""128237"", ""long_grammar"", 2003, 591, ""Caesar-Fox, Desrey Clementine 2003""], [""63385"", ""grammar"", 1980, 0, ""Cousins, A.L. 1980""], [""57261"", ""grammar"", 1977, 0, ""Cousins, A.L. 1977""], [""24587"", ""grammar_sketch"", 1905, 79, ""Lucien Adam 1905""], [""11297"", ""wordlist_or_less"", 1868, 56, ""Brett, W. H. 1868""], [""27008"", ""wordlist_or_less"", 1847, 27, ""Schomburgk, Richard Moritz 1847, 1848, 1848""]]}",6.16277,language,-60.862,South America,,Akawaio-Ingariko,"('Akawaio [akaw1241]':1,'Ingariko [inga1250]':1)'Akawaio-Ingariko [akaw1239][ake]-l-':1",10238
False,Spoken L1 Language,0,0,0,,32,3583,aqz,akun1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1567"", ""label"": ""Akunts\u00fa""}, {""url"": ""https://www.wikidata.org/entity/Q4701960"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Akuntsu_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/akun1241"", ""label"": null}], ""meds"": [[""323581"", ""long_grammar"", 2014, 375, ""Aragon, Carolina Coelho 2014""], [""44646"", ""grammar_sketch"", 2008, 153, ""Aragon, Carolina Coelho 2008""], [""94404"", ""wordlist_or_less"", 2005, 4, ""Aragon, Carolina Coelho and Cabral, Ana Suelly Arruda Camara 2005""]]}",-12.8322,language,-60.9716,South America,,Akuntsu,'Akuntsu [akun1241][aqz]-l-':1,5382
False,Spoken L1 Language,0,0,0,,400,5131,ako,akur1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1568"", ""label"": ""Akuriyo""}, {""url"": ""https://www.wikidata.org/entity/Q56650"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Akurio_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/akur1238"", ""label"": null}], ""meds"": [[""29334"", ""wordlist_or_less"", 1946, 31, ""de Goeje, Claudius Henricus 1946""], [""79466"", ""wordlist_or_less"", 1943, 0, ""Goeje, Claudius H. de 1943""], [""64198"", ""wordlist_or_less"", 1939, 0, ""Lynden, A.J.H. van 1939""]]}",3.19607,language,-55.6294,South America,,Akurio,'Akurio [akur1238][ako]-l-':1,7467
False,Spoken L1 Language,0,0,0,,421,421,NOCODE_Alacalufe-Austral,alac1239,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Alacalufe-Austral"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Careful analysis of early vocabularies of languages related to Kawesqar [alc]\nnecessitate distinguishing a now extinct Southern Alakaluf language (**hh:hv:ViegasBarros:Qawasqar**, **hh:hv:ViegasBarros:Patagonia**) attested by vocabularies in **hh:w:Fitz-Roy:Alikhoolip**, **hh:hew:HyadesDeniker:Cap-Horn**. It is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24. See also: Qawasqar del Norte [alc].""}, ""links"": [], ""meds"": [[""64060"", ""wordlist_or_less"", 1891, 72, ""Hyades, Paul and Joseph Deniker 1891""], [""90095"", ""wordlist_or_less"", 1839, 3, ""Fitz-Roy, Robert 1839""]]}",-54.788017,language,-70.140381,South America,,Alacalufe-Austral,'Alacalufe-Austral [alac1239]-l-':1,1889
False,Spoken L1 Language,0,0,0,,421,1888,NOCODE_Alacalufe-Central,alac1240,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Alacalufe-Central"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Careful analysis of early vocabularies of languages related to Kawesqar [alc]\nnecessitate distinguishing a now extinct Central Alakaluf language (**hh:hv:ViegasBarros:Qawasqar**, **hh:hv:ViegasBarros:Patagonia**) attested by vocabularies in **hh:w:Marcel:Fueguiens**, **hh:s:Borgatello:Alakaluf**, **hh:ew:Skottsberg:Patagonian**. It is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24. See also: Qawasqar del Norte [alc].""}, ""links"": [], ""meds"": [[""14146"", ""grammar_sketch"", 1928, 62, ""Borgatello, Maggiorino 1928""], [""42079"", ""wordlist_or_less"", 1913, 20, ""Carl Skottsberg 1913""], [""118127"", ""wordlist_or_less"", 1892, 16, ""M. G. Marcel 1892""]]}",-53.435719,language,-71.04126,South America,,Alacalufe-Central,'Alacalufe-Central [alac1240]-l-':1,3488
False,Unattested,0,0,0,,204,878,apv,alap1235,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q16110782"", ""label"": null}], ""meds"": [[""37160"", ""wordlist_or_less"", 2009, 3, ""David M. Eberhard 2009""], [""500469"", ""wordlist_or_less"", 2007, 0, ""ISO 639-3 Registration Authority 2007""]]}",-12.329886,language,-59.996702,South America,,Alapmunte,'Alapmunte [alap1235][apv]-l-':1,2561
False,Spoken L1 Language,0,0,0,,134,134,NOCODE_Allentiac,alle1238,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Allentiac"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Allentiac, one of the two extinct Huarpean languages, is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24 (**hh:s:deValdivia:Allentiac**, **hh:s:delaGrasserie:Allentiak**).""}, ""links"": [{""url"": ""https://en.wikipedia.org/wiki/Allentiac_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_alc"", ""label"": ""Allentiac""}, {""url"": ""https://www.wikidata.org/entity/Q9006723"", ""label"": null}], ""meds"": [[""80689"", ""grammar_sketch"", 1607, 172, ""Luis de Valdivia 1894 [1607]""]]}",-33.480938,language,-68.096924,South America,,Allentiac,'Allentiac [alle1238]-l-':1,744
False,Spoken L1 Language,2,0,0,,180,6323,amc,amah1246,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/amc"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/674"", ""label"": ""Amahuaca""}, {""url"": ""https://en.wikipedia.org/wiki/Amawaka_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/amah1246"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_amc"", ""label"": ""Amahuaca""}, {""url"": ""https://www.wikidata.org/entity/Q2669150"", ""label"": null}], ""meds"": [[""36723"", ""grammar"", 1975, 108, ""Russell, Robert 1975""], [""62639"", ""grammar"", 1965, 0, ""Osborn, Henry 1965""], [""576750"", ""grammar_sketch"", 1959, 40, ""Russell, Robert and Delores Russell 1959""], [""117970"", ""phonology_or_text"", 1948, 3, ""Osborn, Henry 1948""], [""24916"", ""wordlist_or_less"", 1922, 7, ""Farabee, William C. 1922""]]}",-10.2012,language,-72.3208,South America,,Amahuaca,"('Inuvaken [inuv1238]':1,'Viwivakeu [viwi1238]':1)'Amahuaca [amah1246][amc]-l-':1",8935
False,Spoken L1 Language,0,0,0,,32,7748,ama,aman1266,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3836"", ""label"": ""Amanay\u00e9""}, {""url"": ""https://www.wikidata.org/entity/Q3508053"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Amanay%C3%A9_language"", ""label"": null}], ""meds"": [[""310985"", ""phonology_or_text"", 2002, 0, ""Jefferson Fernando Barbosa 2002""], [""157156"", ""wordlist_or_less"", 1914, 234, ""Lange, Algot 1914""]]}",-3.79772,language,-48.6613,South America,,Amanayé,'Amanayé [aman1266][ama]-l-':1,10486
